239, 220, 220, 16, 0 
250, 125, 125, 14, 0 
265, 72, 72, 12, 0 
283, 42, 42, 11, 0 
304, 25, 25, 10, 0 
327, 15, 15, 9, 0 
352, 10, 10, 8, 0 
379, 7, 7, 7, 0 
408, 5, 5, 6, 0 
440, 4, 4, 6, 0 
474, 3, 3, 6, 0 
510, 3, 3, 6, 0 
548, 3, 3, 6, 0 
589, 3, 3, 6, 0 
632, 3, 3, 6, 0 
678, 3, 3, 6, 0 
726, 3, 3, 6, 0 
777, 3, 3, 6, 0 
830, 3, 3, 6, 0 
886, 3, 3, 6, 0 
944, 3, 3, 6, 0 
1005, 3, 3, 6, 0 
1068, 3, 3, 6, 0 
1133, 3, 3, 6, 0 
1201, 3, 3, 6, 0 
1271, 3, 3, 6, 0 
1342, 3, 3, 6, 0 
1415, 3, 3, 6, 0 
1489, 3, 3, 6, 0 
1564, 3, 3, 6, 0 
1640, 3, 3, 6, 0 
1717, 3, 3, 6, 0 
1794, 3, 3, 6, 0 
1871, 3, 3, 6, 0 
1947, 4, 4, 6, 0 
2022, 5, 5, 6, 0 
2096, 7, 7, 6, 0 
2168, 10, 10, 6, 0 
2237, 15, 15, 6, 0 
2302, 23, 23, 6, 0 
2362, 36, 36, 6, 0 
2415, 57, 57, 6, 0 
2457, 93, 93, 6, 0 
2482, 153, 153, 6, 0 
2482, 254, 254, 6, 0 
2439, 423, 423, 6, 0 
2329, 695, 695, 6, 0 
2123, 1105, 1105, 6, 0 
1799, 1646, 1646, 7, 0 
1374, 2190, 2190, 8, 0 
938, 2458, 2458, 10, 0 
608, 2235, 2235, 13, 0 
423, 1670, 1670, 16, 0 
337, 1096, 1096, 18, 0 
302, 673, 673, 18, 0 
293, 402, 402, 18, 0 
297, 239, 239, 17, 0 
309, 143, 143, 15, 0 
326, 86, 86, 13, 0 
347, 53, 53, 11, 0 
371, 33, 33, 10, 0 
398, 21, 21, 9, 0 
428, 14, 14, 8, 0 
460, 10, 10, 7, 0 
495, 7, 7, 6, 0 
532, 5, 5, 6, 0 
572, 4, 4, 6, 0 
