1935, 152, 152, 3, 1 
1950, 189, 189, 3, 1 
1955, 236, 236, 3, 1 
1948, 296, 296, 3, 1 
1925, 370, 370, 3, 1 
1884, 459, 459, 3, 1 
1824, 562, 562, 3, 1 
1743, 674, 674, 4, 1 
1643, 786, 786, 5, 1 
1528, 884, 884, 8, 1 
1405, 952, 952, 13, 2 
1284, 976, 976, 23, 4 
1173, 950, 950, 42, 8 
1080, 877, 877, 76, 17 
1007, 767, 767, 130, 34 
956, 635, 635, 205, 61 
926, 495, 495, 289, 96 
915, 363, 363, 356, 127 
919, 254, 254, 379, 138 
937, 176, 176, 352, 124 
965, 125, 125, 293, 94 
1000, 94, 94, 227, 62 
1040, 75, 75, 168, 38 
1083, 63, 63, 121, 22 
1129, 55, 55, 86, 12 
1177, 50, 50, 60, 7 
1226, 47, 47, 42, 4 
1276, 45, 45, 29, 3 
1327, 44, 44, 20, 2 
1378, 44, 44, 14, 2 
1430, 44, 44, 10, 2 
1481, 45, 45, 7, 2 
1532, 47, 47, 5, 2 
1582, 50, 50, 4, 2 
1631, 54, 54, 3, 2 
1679, 60, 60, 3, 2 
1725, 68, 68, 3, 2 
1768, 78, 78, 3, 2 
1808, 91, 91, 3, 2 
1843, 108, 108, 3, 2 
1873, 130, 130, 3, 2 
1896, 158, 158, 3, 2 
1911, 194, 194, 3, 2 
1916, 239, 239, 3, 2 
1910, 295, 295, 3, 2 
1890, 364, 364, 3, 2 
1854, 446, 446, 3, 2 
1799, 540, 540, 3, 2 
1726, 642, 642, 3, 2 
1635, 744, 744, 4, 3 
1530, 833, 833, 6, 5 
1418, 895, 895, 10, 9 
1306, 917, 917, 17, 18 
1203, 891, 891, 30, 37 
1116, 814, 814, 52, 75 
1049, 688, 688, 85, 142 
1006, 524, 524, 125, 237 
988, 349, 349, 157, 325 
994, 204, 204, 162, 344 
1019, 117, 117, 139, 275 
1056, 75, 75, 105, 177 
1100, 56, 56, 75, 101 
1147, 46, 46, 52, 54 
1196, 41, 41, 36, 28 
1247, 38, 38, 25, 15 
